Date,Market,Contracts,Points,SCALEDPROFIT,REALPROFIT
20021030,ED,4,0.398,4.94375,1.58200
20021101,TU2,2,-0.826,-7.36313,-1.32536
20021104,AD,2,0.048,3.17913,3.81496
20021104,EC,1,0.087,4.81211,4.33090
20021108,BP,1,-0.026,-1.36104,-0.65330
20021113,GBS,5,1.241,3.17000,2.47260
20021129,S2,2,-20.380,-0.30118,-0.81920
20021203,HG2,4,-2.976,-0.24157,-1.19820
20021203,NQ,1,-122.210,-1.22460,-0.97968
20021204,SB2,4,-0.596,-0.49791,-1.07549
20021209,GC2,3,40.683,0.63489,4.87596
20021209,LEU,5,0.317,1.57725,1.57725
20021211,NG2,1,0.189,0.89552,0.75224
20021212,CD,2,-0.008,-0.80540,-0.64432
20021216,BP,1,0.036,1.84823,0.88715
20021218,SF,1,0.032,2.02537,1.62030
20021219,TU2,2,-0.146,-1.31958,-0.23753
20021223,CT2,2,-2.476,-0.77681,-0.99432
20021226,TY2,1,-1.399,-1.27628,-0.56156
20021230,LSS,9,0.209,0.73036,0.92025
20030102,SI2,3,-7.679,-0.03457,-0.46674
20030106,NG2,1,2.100,9.99829,8.39856
20030113,CD,3,0.024,2.44320,2.93184
20030115,JY,1,-0.021,-0.84468,-1.04740
20030116,HG2,4,-0.010,-0.00242,-0.01200
20030117,CL2,1,3.740,0.83000,1.49400
20030120,LLG,2,1.305,0.43337,1.04008
20030121,SB2,4,0.664,0.54717,1.18189
20030123,TU2,2,0.343,3.02368,0.54426
20030127,HO2,1,0.116,1.25286,1.95446
20030127,GO,2,77.202,2.44929,6.17220
20030203,CT2,2,1.202,0.37253,0.47684
20030210,LB,1,-13.700,-1.04276,-0.60480
20030214,TY2,1,0.253,0.22528,0.09913
20030220,HO2,1,0.012,0.12602,0.19659
20030226,JY,1,-0.020,-0.79343,-0.98385
20030227,HG2,4,-3.077,-0.24976,-1.23880
20030228,S2,2,14.810,0.21632,0.58840
20030303,NG2,1,-0.159,-0.76105,-0.63928
20030312,RR2,5,68.830,1.37160,2.74320
20030328,CD,2,-0.013,-1.30840,-1.04672
20030411,CD,2,0.039,3.86570,3.09256
20030421,AD,2,0.051,3.40273,4.08328
20030421,RR2,4,36.345,0.72190,1.15504
20030430,NQ,2,90.510,0.90260,1.44416
20030430,EC,1,0.044,2.43861,2.19475
20030430,S2,2,-3.108,-0.04717,-0.12830
20030507,SF,1,-0.003,-0.19912,-0.15930
20030507,ED,7,0.021,0.23500,0.13160
20030507,TU2,3,0.267,2.35206,0.63506
20030508,JY,1,-0.021,-0.83605,-1.03670
20030509,TY2,1,1.975,1.79134,0.78819
20030513,ES,1,15.758,0.22368,0.31315
20030516,GBS,7,0.245,0.61487,0.67144
20030516,LES,7,-0.078,-0.40000,-0.56000
20030519,LEU,7,0.067,0.32475,0.45465
20030603,FCE,1,228.915,1.08769,0.91366
20030606,BP,1,-0.017,-0.90042,-0.43220
20030606,CD,2,-0.016,-1.64340,-1.31472
20030609,BAX,5,0.027,0.19936,0.12400
20030611,LLG,1,-1.691,-0.56520,-0.67824
20030702,NK,2,-50.000,-0.12750,-0.20400
20030711,CL2,1,-1.268,-0.28291,-0.50924
20030715,HG2,3,-1.650,-0.13468,-0.50100
