Date,Market,Contracts,Points,SCALEDPROFIT,REALPROFIT
20060623,LEU,-11,-0.001,-0.00300,-0.00660
20060626,LLG,-2,1.164,-0.38967,-0.93520
20060626,CT2,-2,0.764,-0.24184,-0.30956
20060627,NG2,-1,0.181,-0.86476,-0.72640
20060627,GBS,-11,0.180,-0.47359,-0.81268
20060627,S2,-2,31.905,-0.47066,-1.28020
20060629,LB,-1,-14.887,1.12591,0.65303
20060713,NQ,-2,28.120,-0.28370,-0.45392
20060719,NG2,-1,0.779,-3.71381,-3.11960
20060727,SB2,-2,-3.741,3.09961,3.34758
20060802,S2,-2,-25.658,0.37585,1.02230
20060804,LSS,-15,-0.050,0.16393,0.34425
20060814,W2,-2,17.158,-0.35953,-0.69030
20060818,HO2,-1,-0.310,3.33476,5.20222
20060818,LEU,-10,0.072,-0.37150,-0.74300
20060828,JY,-1,-0.002,0.08258,0.10240
20060829,CL2,-1,-11.359,2.52302,4.54144
20060906,RB2,-1,-0.091,0.76460,1.52920
20060908,NG2,-1,-0.579,2.75281,2.31236
20060911,GO,-1,-34.125,1.08175,1.36300
20060911,SF,-1,-0.000,0.01438,0.01150
20060912,PA2,-1,16.272,-0.40805,-0.65288
20060912,GC2,-1,6.300,-0.09922,-0.25400
20060919,GBS,-11,0.289,-0.75346,-1.29294
20060919,LB,-1,-5.936,0.44687,0.25918
20060920,CT2,-2,-1.708,0.53056,0.67912
20061011,EC,-1,0.024,-1.30878,-1.17790
20061011,CD,-1,-0.023,2.34180,0.93672
20061025,LEU,-10,0.070,-0.36200,-0.72400
20061026,GBS,-11,0.247,-0.64731,-1.11078
20061113,HG2,-1,-40.634,3.27532,4.06140
20061207,LB,-1,19.206,-1.46046,-0.84706
20061212,NG2,-1,-0.158,0.75033,0.63028
20061213,GBS,-11,-0.237,0.59397,1.01926
20061215,LSS,-18,-0.275,0.96607,2.43450
20061219,LLG,-2,-1.284,0.42623,1.02296
20061220,LEU,-11,-0.009,0.03275,0.07205
20061221,BAX,-8,-0.068,0.52814,0.52560
20061221,ED,-7,-0.063,0.76125,0.42630
20061226,HO2,-1,-0.100,1.07271,1.67343
20061226,JY,-1,-0.008,0.32819,0.40695
