Date,Market,Contracts,Points,SCALEDPROFIT,REALPROFIT
19940216,GO,-67,3.035,-0.09794,-0.20669
19940218,TY2,-41,-4.661,4.23295,1.90906
19940309,ED,-130,-0.255,3.15625,0.82063
19940318,LLG,-22,-1.013,0.33597,0.22174
19940324,RR2,-33,-246.060,4.91620,1.62235
19940325,LSS,-218,-0.077,0.26071,0.19893
19940325,LES,-131,0.079,-0.40400,-0.26462
19940330,BAX,-79,-0.381,3.04823,0.74892
19940330,LB,-16,-52.500,3.97931,0.92320
19940404,W2,-71,14.043,-0.29464,-0.50206
19940405,FCE,-55,122.265,-0.58460,-0.67521
19940405,S2,-48,20.272,-0.29960,-0.48894
19940415,W2,-72,3.213,-0.06901,-0.11925
19940418,GC2,-48,5.297,-0.08355,-0.25666
19940419,TU2,-74,0.451,-4.03211,-0.67135
19940419,ED,-110,-0.273,3.38250,0.74415
19940421,LLG,-18,0.782,-0.26217,-0.14157
19940503,TU2,-71,-0.172,1.50789,0.24089
19940509,BAX,-52,0.550,-4.43730,-0.71760
19940509,TY2,-34,1.383,-1.26179,-0.47191
19940512,NG2,-27,0.034,-0.16633,-0.09431
19940524,LES,-134,-0.242,1.20000,0.80400
19940526,FCE,-54,-54.000,0.25476,0.28890
19940531,LLG,-16,1.633,-0.54597,-0.26206
19940602,LSS,-179,0.241,-0.87464,-0.54796
19940616,BAX,-42,0.605,-4.87781,-0.63714
19940617,LES,-113,0.180,-0.91000,-0.51415
19940620,CD,-54,0.011,-1.07960,-0.58298
19940621,LLG,-15,3.596,-1.20047,-0.54021
19940627,SP,-17,13.678,-0.19569,-0.58219
19940705,W2,-67,13.207,-0.27724,-0.44580
19940706,S2,-35,-32.045,0.46978,0.55904
19940711,LSS,-167,0.299,-1.08286,-0.63293
19940714,SI2,-31,23.742,-0.10596,-0.36955
19940722,NG2,-37,-0.066,0.31376,0.24379
19940729,LSS,-160,-0.092,0.31429,0.17600
19940805,GC2,-55,8.469,-0.13311,-0.46855
19940815,CT2,-29,3.959,-1.24034,-0.57552
19940823,NG2,-35,-0.218,1.03352,0.75964
19940905,LES,-104,0.249,-1.25300,-0.65156
19940908,NK,-19,165.000,-0.41500,-0.15770
19940912,LLG,-16,2.338,-0.78090,-0.37483
19940912,LB,-17,-15.691,1.18691,0.29257
19940916,GO,-76,8.118,-0.25929,-0.62073
19940919,LSS,-144,0.084,-0.31357,-0.15804
19940921,FCE,-56,14.400,-0.07095,-0.08344
19941004,TY2,-34,-0.221,0.19602,0.07331
19941005,TU2,-68,-0.726,6.43102,0.98395
19941005,CT2,-32,3.706,-1.16119,-0.59453
19941013,HO2,-40,0.035,-0.37897,-0.59119
