Date,Market,Contracts,Points,SCALEDPROFIT,REALPROFIT
19930416,TY2,37,-1.453,-1.32556,-0.53950
19930422,PA2,77,21.074,0.52559,1.61881
19930426,GC2,98,20.121,0.31361,1.96696
19930427,SI2,77,10.762,0.04739,0.41049
19930427,BAX,54,-0.370,-2.99035,-0.50220
19930427,SB2,68,-0.752,-0.62792,-0.57643
19930505,NK,18,-371.950,-0.93238,-0.33566
19930507,SF,20,-0.024,-1.51044,-0.60417
19930510,BAX,56,1.278,10.25804,1.78654
19930514,SI2,63,1.497,0.00621,0.04400
19930517,SB2,59,-0.957,-0.79724,-0.63501
19930527,SP,19,-12.442,-0.17803,-0.59194
19930614,TY2,36,0.519,0.46761,0.18517
19930622,S2,70,75.690,1.11162,2.64565
19930702,GC2,52,3.554,0.05475,0.18221
19930702,SI2,43,25.913,0.11472,0.55498
19930706,TU2,67,-0.466,-4.16318,-0.62760
19930706,ED,120,-0.222,-2.80250,-0.67260
19930715,LLG,30,3.290,1.09517,0.98565
19930719,S2,49,-48.402,-0.71327,-1.18831
19930729,LSS,167,-0.064,-0.24429,-0.14279
19930802,JY,16,0.001,0.03927,0.01948
19930809,FCE,68,-27.290,-0.13233,-0.18897
19930813,NG2,26,-0.111,-0.53124,-0.29006
19930816,TU2,82,0.258,2.27111,0.41902
19930816,ED,121,-0.004,-0.07875,-0.01906
19930818,SP,22,-2.119,-0.03056,-0.11767
19930820,TY2,46,1.056,0.95568,0.48357
19930914,NK,18,-577.000,-1.44500,-0.52020
19930928,LB,19,-24.998,-1.89985,-0.52341
19930929,RR2,103,140.400,2.80300,2.88709
19931011,TY2,46,-0.998,-0.91136,-0.46115
19931011,LLG,30,-0.898,-0.30103,-0.27093
19931011,ED,110,-0.213,-2.68875,-0.59153
19931013,RR2,77,262.475,5.24450,4.03826
19931013,W2,70,49.070,1.02021,1.71395
19931015,SP,24,-9.148,-0.13097,-0.55008
19931022,BAX,66,1.003,8.04743,1.65182
19931025,FCE,70,-70.550,-0.33833,-0.49735
19931025,LB,19,9.500,0.71724,0.19760
19931105,SB2,64,-0.754,-0.62883,-0.54331
19931118,LLG,29,2.965,0.98667,0.85840
19931126,LES,153,0.009,0.03300,0.02524
19931129,LB,18,-10.000,-0.76207,-0.19890
19931206,CT2,43,11.383,3.55419,2.44528
19931207,RR2,43,-76.355,-1.53210,-0.65880
19931209,LSS,205,-0.232,-0.84286,-0.60475
19931216,GC2,39,-6.892,-0.10847,-0.27074
19931216,AD,39,0.031,2.07393,1.21325
19931220,LB,17,-16.000,-1.21724,-0.30005
19931223,S2,40,-10.613,-0.15754,-0.21425
19931228,SP,25,1.760,0.02486,0.10878
19940104,SI2,33,-31.635,-0.14104,-0.52363
19940104,FCE,66,-39.105,-0.18860,-0.26139
19940120,HG2,63,-0.041,-0.00492,-0.00961
19940124,ED,138,-0.129,-1.64000,-0.45264
19940203,FCE,63,-99.715,-0.47721,-0.63135
19940204,SI2,32,-8.627,-0.03879,-0.13963
19940204,SB2,82,0.360,0.29496,0.32652
19940223,AD,44,-0.011,-0.76327,-0.50376
